DATE,CLVMNACSCAB1GQDE




1995-01-01,2145526.3
1996-01-01,2163718.8
1997-01-01,2203937.4
1998-01-01,2243528.6
1999-01-01,2282771.4
2000-01-01,2354426.1
2001-01-01,2397153.9
2002-01-01,2393180.8
2003-01-01,2376173.3
2004-01-01,2392762.6
2005-01-01,2414300.8
2006-01-01,2510839.5
2007-01-01,2588488.6
2008-01-01,2606193.1
2009-01-01,2459189.6
2010-01-01,2558586.1
2011-01-01,2660631.0
2012-01-01,2677080.9
2013-01-01,2691927.6
2014-01-01,2751245.0
2015-01-01,2785329.6
2016-01-01,2844995.4
2017-01-01,2930033.0
2018-01-01,2962375.1
2019-01-01,2994578.0
2020-01-01,2847016.7
