DATE,CLVMNACSCAB1GQFR
1995-01-01,1525869.3
1996-01-01,1547055.1
1997-01-01,1582611.5
1998-01-01,1639867.9
1999-01-01,1693636.2
2000-01-01,1762895.1
2001-01-01,1798275.7
2002-01-01,1818426.0
2003-01-01,1833754.9
2004-01-01,1881159.2
2005-01-01,1913515.8
2006-01-01,1963802.3
2007-01-01,2011373.8
2008-01-01,2013672.3
2009-01-01,1957606.3
2010-01-01,1993584.0
2011-01-01,2038182.7
2012-01-01,2045794.1
2013-01-01,2058367.6
2014-01-01,2078434.6
2015-01-01,2100099.8
2016-01-01,2121637.2
2017-01-01,2173447.2
2018-01-01,2213450.9
2019-01-01,2254155.1
2020-01-01,2074118.0
